Monit_MAP_CODE1,Year,pct_garage_yes,homestead_y_count,homestead_n_count,GREEN_ACRE_y_count,GREEN_ACRE_n_count
27062700-01,2010,100.0,11537,1647,0,13184
19002200-01,2010,NaN,7139,507,0,7660
82009200-01,2010,100.0,932,312,0,1244
27003501-01,2010,100.0,4259,859,0,5118
19002100-01,2010,NaN,4770,662,0,5457
19002601-01,2011,NaN,9010,3432,306,10422
82008700-01,2011,100.0,10322,2565,199,12688
10005200-01,2011,49.58294717330862,570,483,55,1024
82005400-01,2011,100.0,314,112,54,372
82009700-01,2011,100.0,8739,2786,54,11469
10009500-01,2011,55.73770491803278,382,228,45,565
82015300-01,2011,100.0,626,92,36,682
19003100-01,2011,NaN,1884,738,34,1913
82033400-01,2011,100.0,142,32,26,148
10012100-01,2011,52.21445221445221,361,68,25,404
82007700-01,2011,100.0,186,18,24,180
19034800-01,2011,NaN,6454,1060,23,7491
82036800-01,2011,100.0,444,130,22,552
10001900-01,2011,72.70348837209303,2278,1084,22,3414
82009400-01,2011,100.0,10432,1995,22,12405
82012200-01,2011,100.0,534,158,20,672
82013700-01,2011,99.3517017828201,1176,245,18,1405
82010400-01,2011,100.0,596,86,14,668
10000200-01,2011,92.94117647058823,2378,958,10,808
82010100-01,2011,100.0,198,80,8,270
82012300-01,2011,100.0,282,50,8,324
70002600-01,2011,NaN,1857,311,6,0
82015900-01,2011,100.0,2602,1642,4,4240
82003400-01,2011,100.0,12,14,2,24
82002000-01,2011,100.0,4004,1682,2,5684
82008900-01,2011,100.0,2350,772,2,3120
19044600-01,2011,NaN,4717,400,2,5115
10001100-01,2011,89.61384820239681,663,88,0,751
27071100-01,2011,100.0,6273,1644,0,7917
82009002-01,2011,100.0,6020,1382,0,7402
27007000-01,2011,100.0,3860,573,0,4433
19003300-01,2011,NaN,3695,806,0,4501
19002400-01,2011,NaN,2115,509,0,2624
19002500-01,2011,NaN,2179,199,0,2378
19002700-01,2011,NaN,1623,233,0,1856
19002300-01,2011,NaN,5962,844,0,6806
82009200-01,2011,100.0,934,312,0,1246
82011602-01,2011,100.0,5124,1468,0,6592
82010300-01,2011,100.0,1620,206,0,1826
27004201-01,2011,100.0,7691,1743,0,9434
27062700-01,2011,100.0,11493,1695,0,13188
19002200-01,2011,NaN,7143,515,0,7658
19002100-01,2011,NaN,4779,676,0,5455
02000500-01,2011,69.18995401485674,1924,903,0,0
27003501-01,2011,100.0,4265,855,0,5120
19002900-01,2011,NaN,924,341,0,1265
27005300-01,2011,100.0,8542,1851,0,10393
19002601-01,2012,NaN,9250,3425,307,12368
82008700-01,2012,100.0,10314,2569,201,12682
82009700-01,2012,100.0,8777,2748,56,11469
