Monit_MAP_CODE1,Year,mean_TOTAL_TAX,mean_SALE_VALUE,mean_FIN_SQ_FT,mean_ACRES_DEED,pct_garage_yes,homestead_y_count,homestead_n_count,GREEN_ACRE_y_count,GREEN_ACRE_n_count,LAKE_NAME,latitude,longitude,avg_secchi_depth,avg_total_phosphorus
27005300-01,2012,4248.219917410928,153478.51128397195,1048.2440218957072,0.0,100.0,8536,1877,0,10413,Cobblecrest Lake,44.95013,-93.39348337,0.5499999999999999,0.1185
27007000-01,2012,5279.686610973132,246147.59539399412,437.67712801986903,0.0,100.0,3862,567,0,4429,Mitchell Lake,44.85899641,-93.49817264,1.6916666666666667,0.0585
27062700-01,2012,4540.66239186523,149598.5492487479,1160.071103354075,0.0,100.0,11399,1779,0,13178,Northwood Lake,45.02556284,-93.39171496,0.7454545454545454,0.21872727272727274
27071100-01,2012,8484.643298449124,197697.85247761945,994.5966460723743,0.0,100.0,6213,1718,0,7931,Westwood Lake,44.97082571,-93.38765176,1.275,0.10116666666666667
70002600-01,2012,0.0,192622.70290188852,1215.6485490557347,0.36658222017503445,NaN,1829,342,6,2165,Lower Prior Lake,44.73480944,-93.41536363,4.142857142857142,0.028857142857142866
82002000-01,2012,0.0,172780.49402250352,1124.237341772152,0.0,100.0,3984,1690,2,5672,McKusick Lake,45.060821,-92.8257844,2.530818181818182,0.05781818181818183
82003400-01,2012,0.0,0.0,668.2307692307693,0.0,100.0,12,14,2,24,East Boot Lake,45.16485991,-92.83095448,4.338333333333333,0.035666666666666666
82005400-01,2012,0.0,105954.80568720379,1021.7535545023696,0.0,100.0,312,108,54,366,Bone Lake,45.28659868,-92.86026082,1.2307692307692308,0.06092307692307693
82007700-01,2012,0.0,112383.16831683168,1526.1089108910892,0.0,100.0,184,18,24,178,Goggins Lake,45.13303508,-92.89283249,1.3681818181818182,0.11172727272727272
82008700-01,2012,47.92704695382228,203915.27310826542,1152.3417151726815,0.0,100.0,10314,2569,201,12682,Regional Park Lake,44.80553214,-92.90248396,1.8457142857142859,0.09085714285714286
82008900-01,2012,0.0,354006.95006402046,1423.6760563380283,0.0,100.0,2370,752,2,3120,Markgraf Lake,44.94046314,-92.89723902,0.359090909090909,0.14818181818181816
82009002-01,2012,0.0,215428.0308108108,1709.3345945945946,0.0,100.0,5994,1400,0,7394,Wilmes Lake,44.92794439,-92.91260488,1.3000000000000003,0.09253846153846156
82009200-01,2012,0.0,359026.062600321,1748.1139646869983,0.0,100.0,936,310,0,1246,Powers Lake,44.92635622,-92.89985034,4.4399999999999995,0.031615384615384615
82009400-01,2012,0.0,238477.4141476614,1813.2918438345573,0.0,100.0,10444,2029,22,12451,Colby Lake,44.91007106,-92.90834129,0.7230769230769231,0.11723076923076922
82009700-01,2012,0.0,2233439.39128183,1542.7547690979716,0.011772119119551143,100.0,8777,2748,56,11469,La Lake,44.88725237,-92.9713984,1.4909090909090907,0.10072727272727272
